0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.4,,0.1,0.25,0,2032,AKG,2.5,21-Apr-17,0.2,,0.1,0.25,0,227
19-May-17,0.55,,0.2,0.35,0,649,AKG,2.5,19-May-17,0.24,,0.2,0.35,0,894
18-Aug-17,0.45,,0.35,0.5,0,896,AKG,2.5,18-Aug-17,0.4,,0.35,0.45,0,917
17-Nov-17,,,0.5,0.65,0,0,AKG,2.5,17-Nov-17,0.5,,0.45,0.6,0,26
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,,,,0.5,0,0,APT,2.5,21-Apr-17,,,,0.35,0,0
19-May-17,0.75,,0.15,0.35,0,19,APT,2.5,19-May-17,,,,0.4,0,0
18-Aug-17,,,0.25,0.45,0,0,APT,2.5,18-Aug-17,0.2,,0.1,0.25,100,120
17-Nov-17,,,0.35,0.6,0,0,APT,2.5,17-Nov-17,,,0.25,0.7,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.05,,,0.4,0,111,BRG,12.5,21-Apr-17,0.46,-0.04,0.4,0.75,5,286
19-May-17,,,,0.6,0,0,BRG,12.5,19-May-17,,,0.65,1.05,0,0
21-Jul-17,0.45,,,0.95,0,180,BRG,12.5,21-Jul-17,1.1,,0.5,1.35,0,113
20-Oct-17,0.55,,0.4,0.6,0,188,BRG,12.5,20-Oct-17,1.6,,0.75,2.05,0,69
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,4.5,,5,6.4,0,2,BTI,60,21-Apr-17,0.05,,,0.25,0,82
21-Apr-17,0.9,,1.15,1.5,0,153,BTI,65,21-Apr-17,1.36,,0.6,1,0,29
21-Apr-17,0.07,,,0.1,10,0,BTI,70,21-Apr-17,,,3.8,5.5,0,0
19-May-17,,,5.1,7.5,0,0,BTI,60,19-May-17,0.4,,0.15,0.4,0,42
19-May-17,1.75,,1.6,2,16,40,BTI,65,19-May-17,1.9,,1.05,1.65,0,17
19-May-17,0.3,,0.15,0.3,40,0,BTI,70,19-May-17,,,3.4,5.3,0,0
16-Jun-17,3.5,,5.3,6.8,0,28,BTI,60,16-Jun-17,0.6,,0.3,0.55,0,92
16-Jun-17,3.27,,3.2,4.6,0,231,BTI,62.5,16-Jun-17,1.15,,0.7,1.3,0,242
16-Jun-17,2.3,0.5,2,2.4,5,859,BTI,65,16-Jun-17,2.2,,1.4,1.95,0,28
16-Jun-17,1,0.2,0.85,1.1,10,319,BTI,67.5,16-Jun-17,,,2.75,3.7,0,0
16-Jun-17,0.15,,0.1,0.55,0,2,BTI,70,16-Jun-17,0.35,,3.5,5.7,0,0
15-Sep-17,3.6,,4.5,7.3,0,28,BTI,60,15-Sep-17,1.6,,1,1.95,0,16
15-Sep-17,2.52,,4.1,5.2,0,38,BTI,62.5,15-Sep-17,3,,1.65,2.45,0,23
15-Sep-17,2.6,,2.45,3.4,0,74,BTI,65,15-Sep-17,4.2,,2.75,3.5,0,18
15-Sep-17,2.2,0.6,1.55,2.15,11,123,BTI,67.5,15-Sep-17,4.7,-0.5,4.3,6.2,17,17
15-Sep-17,1.2,0.19,0.85,1.55,3,41,BTI,70,15-Sep-17,,,5.2,7.5,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.2,,,0.7,0,1,BTX,3,21-Apr-17,0.2,,,0.2,0,6
19-May-17,0.45,0.05,0.1,0.7,10,10,BTX,3,19-May-17,,,,0.3,0,0
16-Jun-17,0.65,,0.35,0.65,0,246,BTX,3,16-Jun-17,0.2,,,0.35,0,183
15-Sep-17,0.8,,0.4,0.85,0,50,BTX,3,15-Sep-17,0.3,,,0.75,0,53
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.45,,0.05,0.65,0,20,BVX,2.5,21-Apr-17,,,,0.5,0,0
19-May-17,0.9,,0.15,0.8,0,4,BVX,2.5,19-May-17,0.35,,,0.55,0,30
18-Aug-17,0.7,,0.35,1.05,0,4,BVX,2.5,18-Aug-17,0.4,,0.25,0.95,0,16
17-Nov-17,,,0.55,1.25,0,0,BVX,2.5,17-Nov-17,,,0.4,1.15,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,1.48,,1.65,2.25,0,5,CQH,22.5,21-Apr-17,,,0.1,0.45,0,0
21-Apr-17,0.6,,0.3,0.7,0,7,CQH,25,21-Apr-17,,,0.95,1.55,0,0
19-May-17,,,1.8,2.45,0,0,CQH,22.5,19-May-17,,,0.4,0.7,0,0
19-May-17,,,0.65,1.05,0,0,CQH,25,19-May-17,,,1.25,1.9,0,0
21-Jul-17,2.67,,2.4,3,0,3,CQH,22.5,21-Jul-17,1.25,,0.75,1.25,0,50
21-Jul-17,1,,1.1,1.65,0,42,CQH,25,21-Jul-17,2.6,,1.9,2.5,0,0
20-Oct-17,2.78,,2.8,3.7,0,5,CQH,22.5,20-Oct-17,1.5,,1.15,1.9,0,2
20-Oct-17,,,1.55,2.3,0,0,CQH,25,20-Oct-17,,,2.35,3.1,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,2.4,,2.3,3.8,0,7,CQP,29,21-Apr-17,0.3,,,0.3,0,513
21-Apr-17,2.13,,1.45,2.8,0,24,CQP,30,21-Apr-17,0.53,,0.15,0.3,0,273
21-Apr-17,0.81,,1.25,1.95,0,69,CQP,31,21-Apr-17,0.6,,0.35,0.45,0,21
21-Apr-17,0.95,0.36,0.65,0.95,14,146,CQP,32,21-Apr-17,1.22,,0.7,0.95,0,88
21-Apr-17,0.45,0.2,0.25,0.5,6,57,CQP,33,21-Apr-17,,,1.3,1.6,0,0
21-Apr-17,0.16,0.07,0.05,0.25,103,7,CQP,34,21-Apr-17,,,1.55,2.85,0,0
21-Apr-17,0.2,,,0.15,0,23,CQP,35,21-Apr-17,,,2.35,3.8,0,0
19-May-17,,,2.4,4.1,0,0,CQP,29,19-May-17,0.7,,0.3,0.5,0,11
19-May-17,,,1.8,2.9,0,0,CQP,30,19-May-17,0.9,,0.5,0.6,0,9
19-May-17,0.94,,1.45,1.9,0,120,CQP,31,19-May-17,,,0.8,1,0,0
19-May-17,0.6,,0.85,1.35,0,32,CQP,32,19-May-17,,,1.25,1.45,0,0
19-May-17,0.45,,0.45,0.8,0,58,CQP,33,19-May-17,,,1.8,2.1,0,0
19-May-17,,,0.2,0.5,0,0,CQP,34,19-May-17,,,2.1,3.5,0,0
19-May-17,,,,0.35,0,0,CQP,35,19-May-17,,,2.75,4.2,0,0
16-Jun-17,2.8,-0.58,3.1,3.5,1,189,CQP,29,16-Jun-17,0.8,,0.45,0.65,0,2228
16-Jun-17,2.68,0.93,2.35,2.75,14,386,CQP,30,16-Jun-17,1.3,,0.7,0.9,0,1026
16-Jun-17,1.15,,1.65,2.1,0,251,CQP,31,16-Jun-17,1.05,,1.05,1.2,0,802
16-Jun-17,0.82,,1.1,1.55,0,162,CQP,32,16-Jun-17,1.8,,1.5,1.9,0,100
16-Jun-17,0.45,,0.65,1.1,0,119,CQP,33,16-Jun-17,,,2.1,2.35,0,0
16-Jun-17,0.55,-0.05,0.4,0.75,7,46,CQP,34,16-Jun-17,,,2.75,3,0,0
16-Jun-17,0.17,,0.2,0.4,0,75,CQP,35,16-Jun-17,,,2.95,3.8,0,0
15-Sep-17,,,3.2,4.2,0,0,CQP,29,15-Sep-17,,,1.1,1.45,0,0
15-Sep-17,3.33,,2.7,3.3,0,72,CQP,30,15-Sep-17,1.9,,1.35,1.75,0,91
15-Sep-17,2,,2.15,2.7,0,50,CQP,31,15-Sep-17,,,1.85,2.15,0,0
15-Sep-17,1.25,,1.6,1.9,0,85,CQP,32,15-Sep-17,3,,2.15,2.65,0,18
15-Sep-17,1.35,0.35,1.25,1.6,85,341,CQP,33,15-Sep-17,2.75,,2.75,3.2,0,22
15-Sep-17,1,0.34,0.8,1.25,1,132,CQP,34,15-Sep-17,,,3.5,3.9,0,0
15-Sep-17,0.8,0.4,0.6,1.05,25,43,CQP,35,15-Sep-17,,,3.5,5.2,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.5,,,0.55,1,0,EGAS,12.5,21-Apr-17,,,,0.5,0,0
19-May-17,0.3,,,0.45,0,219,EGAS,12.5,19-May-17,0.2,,,0.5,0,363
18-Aug-17,,,,1,0,0,EGAS,12.5,18-Aug-17,0.25,,,0.7,0,21
17-Nov-17,,,0.05,1.25,0,0,EGAS,12.5,17-Nov-17,,,,1,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.35,,0.2,0.5,0,593,EPM,7.5,21-Apr-17,0.25,,0.25,0.4,0,131
19-May-17,,,0.4,0.7,0,0,EPM,7.5,19-May-17,0.6,,0.45,0.65,1,0
21-Jul-17,0.75,,0.6,0.9,0,150,EPM,7.5,21-Jul-17,0.45,,0.7,0.9,0,192
20-Oct-17,1.25,,0.75,1.2,0,15,EPM,7.5,20-Oct-17,1.15,,0.85,1.2,0,31
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.1,,,0.2,0,25,ERN,2.5,21-Apr-17,0.2,,0.1,0.55,0,10
19-May-17,0.3,,,0.45,0,59,ERN,2.5,19-May-17,,,0.2,0.8,0,0
18-Aug-17,0.55,,0.05,0.7,0,36,ERN,2.5,18-Aug-17,,,0.4,1,0,0
17-Nov-17,,,0.05,0.85,0,0,ERN,2.5,17-Nov-17,,,0.85,1.25,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.2,,,0.15,0,4,FSP,12.5,21-Apr-17,0.75,,0.55,1.15,0,20
19-May-17,,,0.05,0.2,0,0,FSP,12.5,19-May-17,,,0.7,1.05,0,0
16-Jun-17,0.2,,0.1,0.25,0,21,FSP,12.5,16-Jun-17,1.05,,0.8,1.15,0,20
15-Sep-17,0.25,,0.25,0.35,0,18,FSP,12.5,15-Sep-17,1.45,,0.95,1.5,0,22
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,,,0.65,2.2,0,0,GRC,30,21-Apr-17,,,0.35,1.6,0,0
19-May-17,,,1.35,1.9,0,0,GRC,30,19-May-17,,,1.4,1.85,0,0
16-Jun-17,,,1.65,2.2,0,0,GRC,30,16-Jun-17,1,,1.65,2.15,0,143
15-Sep-17,,,2.4,3.2,0,0,GRC,30,15-Sep-17,2.4,,2.55,3.1,0,1
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.2,-0.01,0.15,0.25,72,9420,GSAT,1.5,21-Apr-17,0.1,,0.05,0.15,0,2042
19-May-17,0.3,,0.2,0.3,50,140,GSAT,1.5,19-May-17,0.16,-0.01,0.15,0.2,30,131
21-Jul-17,0.35,,0.3,0.45,0,961,GSAT,1.5,21-Jul-17,0.27,-0.03,0.25,0.35,30,1448
20-Oct-17,,,0.4,0.55,0,0,GSAT,1.5,20-Oct-17,,,0.3,0.45,0,0
19-Jan-18,0.5,-0.03,0.45,0.65,10,667,GSAT,1.5,19-Jan-18,0.6,,0.35,0.6,0,1746
18-Jan-19,0.55,,0.45,0.9,0,315,GSAT,1.5,18-Jan-19,0.75,,0.45,0.8,0,11
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.15,,0.05,0.2,0,56,GTE,2.5,21-Apr-17,,,,0.35,0,0
19-May-17,0.2,,0.1,0.25,0,1596,GTE,2.5,19-May-17,0.18,,0.1,0.25,0,3452
18-Aug-17,0.3,,0.2,0.4,0,750,GTE,2.5,18-Aug-17,0.25,,0.15,0.35,0,110
17-Nov-17,0.4,,0.25,0.5,0,10,GTE,2.5,17-Nov-17,0.3,,0.15,0.5,40,100
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.9,,0.65,0.9,0,171,GV,5,21-Apr-17,0.15,,0.1,0.35,0,60
19-May-17,1.25,,0.8,1.25,1,0,GV,5,19-May-17,0.34,,0.3,0.45,10,0
16-Jun-17,1.3,,0.95,1.35,0,295,GV,5,16-Jun-17,0.33,,0.4,0.6,0,59
15-Sep-17,1.45,-0.05,1.25,1.5,35,253,GV,5,15-Sep-17,0.75,,0.7,0.9,0,42
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.4,-0.2,0.35,0.55,6,18,IMH,12.5,21-Apr-17,0.55,,0.3,0.85,0,531
19-May-17,,,0.6,0.95,0,0,IMH,12.5,19-May-17,,,0.85,1.2,0,0
21-Jul-17,1.4,,0.95,1.25,0,6,IMH,12.5,21-Jul-17,1.15,,1.2,1.5,0,53
20-Oct-17,1.5,-0.1,1.25,1.8,1,40,IMH,12.5,20-Oct-17,,,1.5,2,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,,,0.8,1.75,0,0,IMO,30,21-Apr-17,0.6,,,0.5,0,21
19-May-17,1.55,,1.35,1.75,0,38,IMO,30,19-May-17,1.1,,0.45,0.85,0,82
18-Aug-17,2.25,-0.05,2.05,2.65,30,95,IMO,30,18-Aug-17,1.5,,0.9,1.5,0,24
17-Nov-17,2.55,0.05,2.25,2.75,30,1,IMO,30,17-Nov-17,,,1.25,2.05,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
19-May-17,0.05,,,0.05,0,110,IMUC1,2.5,19-May-17,,,,9.8,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.05,,,0.1,0,448,IRT,10,21-Apr-17,1,,0.45,1.2,0,33
19-May-17,,,,0.45,0,0,IRT,10,19-May-17,,,0.65,1.3,0,0
21-Jul-17,0.19,,,0.25,0,500,IRT,10,21-Jul-17,1.4,,0.95,1.5,0,131
20-Oct-17,0.25,0.05,0.2,0.4,2,170,IRT,10,20-Oct-17,1.45,-0.21,1.25,1.6,10,22
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21-Apr-17,0.2,,,0.35,0,101,LBY,15,21-Apr-17,1.25,,0.65,1.45,0,17
19-May-17,0.45,-0.05,0.35,0.6,21,16,LBY,15,19-May-17,,,1.1,1.9,0,0
16-Jun-17,0.6,,0.5,0.8,0,37,LBY,15,16-Jun-17,2,,1.5,1.85,0,82
15-Sep-17,0.95,,0.9,1.3,0,11,LBY,15,15-Sep-17,0.9,,1.85,2.4,0,2
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
24-Mar-17,,,3.35,5.7,0,0,LNG,41,24-Mar-17,,,,0.39,0,0
24-Mar-17,,,1.81,5.3,0,0,LNG,41.5,24-Mar-17,,,,0.11,0,0
24-Mar-17,,,2.12,3.95,0,0,LNG,42,24-Mar-17,0.06,,,0.18,0,46
24-Mar-17,2.65,,0.8,4.4,0,1,LNG,42.5,24-Mar-17,0.09,-0.09,,0.09,1,255
24-Mar-17,2.1,,1.3,3.15,10,0,LNG,43,24-Mar-17,0.02,,,0.16,0,54
24-Mar-17,6.55,,0.8,2.49,0,1,LNG,43.5,24-Mar-17,0.01,-0.38,,0.26,10,48
24-Mar-17,1.35,0.24,0.59,1.87,5,64,LNG,44,24-Mar-17,0.02,-0.08,,0.04,20,158
24-Mar-17,0.33,0.03,0.13,0.93,7,53,LNG,44.5,24-Mar-17,0.01,-0.91,,0.04,49,384
24-Mar-17,0.15,-0.15,,0.24,260,626,LNG,45,24-Mar-17,0.27,-0.23,,0.09,36,634
24-Mar-17,0.05,-0.09,,0.04,372,664,LNG,45.5,24-Mar-17,0.35,-1.4,0.21,0.6,26,70
24-Mar-17,0.03,-0.01,,0.04,68,1174,LNG,46,24-Mar-17,0.97,-0.38,0.34,1.45,82,95
24-Mar-17,0.01,-0.01,,0.1,23,280,LNG,46.5,24-Mar-17,1.46,-0.28,1.03,1.65,231,271
24-Mar-17,0.06,0.05,,0.18,2,238,LNG,47,24-Mar-17,2.25,0.55,1.49,2.43,17,30
24-Mar-17,0.02,,,0.14,0,331,LNG,47.5,24-Mar-17,2.52,,1.45,3.7,0,19
24-Mar-17,0.01,,,0.08,0,134,LNG,48,24-Mar-17,2.54,,1.05,3.95,0,3
